   i     radius            mass              density           energy            temp              abar              zbar
  153  1.1910731516E+08  5.2823595596E-03  1.4490039358E+06  5.1299349092E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  154  1.2104778697E+08  5.5382244323E-03  1.4461397694E+06  5.1237274434E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  155  1.2300793661E+08  5.8046133457E-03  1.4432059059E+06  5.1173632392E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  156  1.2498787139E+08  6.0818781968E-03  1.4402012478E+06  5.1108394865E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  157  1.2698769806E+08  6.3703792663E-03  1.4371246987E+06  5.1041533560E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  158  1.2900752651E+08  6.6704858395E-03  1.4339751578E+06  5.0973019877E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  159  1.3104746713E+08  6.9825759257E-03  1.4307515252E+06  5.0902825000E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  160  1.3310763530E+08  7.3070370428E-03  1.4274526947E+06  5.0830919745E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  161  1.3518814622E+08  7.6442655315E-03  1.4240775630E+06  5.0757274742E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  162  1.3728912016E+08  7.9946674945E-03  1.4206250212E+06  5.0681860256E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  163  1.3941067423E+08  8.3586575163E-03  1.4170939697E+06  5.0604646482E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  164  1.4155293609E+08  8.7366610858E-03  1.4134832954E+06  5.0525603055E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  165  1.4371602731E+08  9.1291118192E-03  1.4097919002E+06  5.0444699659E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  166  1.4590007548E+08  9.5364536178E-03  1.4060186818E+06  5.0361905595E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
