   7.5524350754762555-234  0.0000000000000000E+00  0.0000000000000000E+00  2.0623340741953059E-93  5.5488335422217672E-97  0.0000000000000000E+00  1.9393966876950555-256  0.0000000000000000E+00  0.0000000000000000E+00  8.2580196688791321-114
   1.1218571154507458-106  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  7.6751622299360195-133  3.3932890217152334-116  0.0000000000000000E+00  4.3571305160023446-297  0.0000000000000000E+00
   0.0000000000000000E+00  5.0152320701459893-120  1.3992988132023698-122  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.2485375423607185-259  1.0264357929073578-131  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.1152152602645233-139  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   5.3732525957312608-148  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   1.0804639755566871-152  0.0000000000000000E+00  2.6693748468019028-123  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.1842199788470714-156  0.0000000000000000E+00  4.2683441556766744-184
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.2846661123223698E-88  1.3527557831972403E-87  0.0000000000000000E+00  4.6287071989203534-233  0.0000000000000000E+00  0.0000000000000000E+00
   4.4016313268972636E-93  1.2347628934911253E-96  0.0000000000000000E+00  1.4078221226509481-255  0.0000000000000000E+00  0.0000000000000000E+00  2.0708088900384527-113  2.6849188388891087-106  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  2.1610192408313911-132  8.6831183234900005-116  0.0000000000000000E+00  5.1965504582293169-296  0.0000000000000000E+00  0.0000000000000000E+00  1.3011573387466342-119  3.7456781826870537-122
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  9.0608710313003690-259  2.9455949417760413-131  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  3.3918166775500953-139  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.7391400354332035-147  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.2146941509844554-152  0.0000000000000000E+00  6.8789775365057240-123
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.0318444439273299-155  0.0000000000000000E+00  1.7036726981451442-183  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  2.5515646071487696E-88  2.6844053312058131E-87  0.0000000000000000E+00  2.8210424278361324-232  0.0000000000000000E+00  0.0000000000000000E+00  9.3724000662503625E-93  2.7408864456959838E-96  0.0000000000000000E+00
   1.0157362275332559-254  0.0000000000000000E+00  0.0000000000000000E+00  5.1781092087518193-113  6.4084570893309807-106  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  6.0651754404083085-132
   2.2154921561037517-115  0.0000000000000000E+00  5.0571414656375314-295  0.0000000000000000E+00  0.0000000000000000E+00  3.3658234109645256-119  9.9960994316824257-122  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  6.5356840973446356-258  8.4256166171941349-131  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.0280545869874001-138  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  5.6086584977738044-147  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  9.5324581042669087-152  0.0000000000000000E+00  1.7675128517259334-122  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  3.3315933943199493-155  0.0000000000000000E+00  6.7711474561070431-183  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  5.0571356601650758E-88  5.3156485454632014E-87
   0.0000000000000000E+00  1.7097954115122641-231  0.0000000000000000E+00  0.0000000000000000E+00  1.9910107255563611E-92  6.0691434424329591E-96  0.0000000000000000E+00  7.2840720374549699-254  0.0000000000000000E+00  0.0000000000000000E+00
   1.2911397204879156-112  1.5254855018425396-105  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.6968600128689667-131  5.6364829838094119-115  0.0000000000000000E+00  4.8379700352785935-294
   0.0000000000000000E+00  0.0000000000000000E+00  8.6811944431759482-119  2.6595908152542367-121  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.6856843407974131-257  2.4022716609556272-130
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.1053794654874822-138  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  1.8022515426832543-146  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  2.8171536796786714-151  0.0000000000000000E+00  4.5282407728454763-122  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.0718183127476990-154  0.0000000000000000E+00
   2.6797447400355752-182  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.0002008230124522E-87  1.0503806680030235E-86  0.0000000000000000E+00  1.0305538619879492-230  0.0000000000000000E+00
   0.0000000000000000E+00  4.2197344044307569E-92  1.3405898327574293E-95  0.0000000000000000E+00  5.1920126488086454-253  0.0000000000000000E+00  0.0000000000000000E+00  3.2103315887323115-112  3.6215838497668610-105  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.7322841432050359-131  1.4298599865374947-114  0.0000000000000000E+00  4.5987598630407275-293  0.0000000000000000E+00  0.0000000000000000E+00  2.2325345584856631-118
   7.0548414944725812-121  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.3390580056278190-256  6.8271368562815871-130  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  9.3482953291539972-138  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  5.7704353403153509-146  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  8.2977636410193480-151  0.0000000000000000E+00
   1.1567208155745790-121  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.4357897549736611-154  0.0000000000000000E+00  1.0560519612903306-181  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  1.9740457220681578E-87  2.0712011999832037E-86  0.0000000000000000E+00  6.1772707475248063-230  0.0000000000000000E+00  0.0000000000000000E+00  8.9225393060707554E-92  2.9539277309800219E-95
   0.0000000000000000E+00  3.6785234879015184-252  0.0000000000000000E+00  0.0000000000000000E+00  7.9598504332911806-112  8.5748873175592423-105  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   1.3155943045411727-130  3.6168457416607899-114  0.0000000000000000E+00  4.3419939935724220-292  0.0000000000000000E+00  0.0000000000000000E+00  5.7246816219086075-118  1.8657433040244976-120  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  2.3651131394423097-255  1.9339955211640917-129  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  2.8046195072233059-137
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.8409555476154096-145  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  2.4359083989056226-150  0.0000000000000000E+00  2.9462090322911781-121  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  1.0974203467904760-153  0.0000000000000000E+00  4.1442265841935131-181  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.8879209132152374E-87
   4.0755457288253368E-86  0.0000000000000000E+00  3.6823861164071546-229  0.0000000000000000E+00  0.0000000000000000E+00  1.8822909277339723E-91  6.4929564609252767E-95  0.0000000000000000E+00  2.5905718639974592-251  0.0000000000000000E+00
   0.0000000000000000E+00  1.9680767333679229-111  2.0248892017476703-104  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.6458914987124881-130  9.1226589835982833-114  0.0000000000000000E+00
   4.0714222234397486-291  0.0000000000000000E+00  0.0000000000000000E+00  1.4636687758959006-117  4.9194066165704725-120  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.6651943838148198-254
   5.4610602544497331-129  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  8.3857860062951490-137  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  5.8522698839459732-145  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  7.1271301395561664-150  0.0000000000000000E+00  7.4823560793357212-121  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.4927317721916254-153
   0.0000000000000000E+00  1.6194728219133789-180  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  7.6413600173206809E-87  8.0027630838578693E-86  0.0000000000000000E+00  2.1831123593719091-228
   0.0000000000000000E+00  0.0000000000000000E+00  3.9617132252454529E-91  1.4237280464269662E-94  0.0000000000000000E+00  1.8134687970575405-250  0.0000000000000000E+00  0.0000000000000000E+00  4.8524936920022479-111  4.7689263035122844-104
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.0072105746030005-129  2.2944134694111940-113  0.0000000000000000E+00  3.7915320659753837-290  0.0000000000000000E+00  0.0000000000000000E+00
   3.7314400446492363-117  1.2932239516153775-119  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.1653893005457443-253  1.5371186548292238-128  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  2.4988857792935335-136  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.8537726347879278-144
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  2.0783884774908973-149
   0.0000000000000000E+00  1.8947714388154070-120  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.1076639595036937-152  0.0000000000000000E+00  6.3020436652364204-180  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.4987173249593965E-86  1.5681501555193175E-85  0.0000000000000000E+00  1.2871946787405176-227  0.0000000000000000E+00  0.0000000000000000E+00  8.3191776779122948E-91
   3.1142734973872401E-94  0.0000000000000000E+00  1.2618997393863677-249  0.0000000000000000E+00  0.0000000000000000E+00  1.1931017453393484-110  1.1201856095953801-103  0.0000000000000000E+00  5.0028517638359755-291  0.0000000000000000E+00
   0.0000000000000000E+00  2.7738040611593796-129  5.7541941521174068-113  0.0000000000000000E+00  3.5067449957918134-289  0.0000000000000000E+00  0.0000000000000000E+00  9.4854114450252310-117  3.3895256618682266-119  0.0000000000000000E+00
